I, [2015-07-15T17:18:02.257706 #4880]  INFO -- : TestModule01_loginStarted>>>>>>>>>>>>>>>>>>>
I, [2015-07-15T17:27:37.484608 #4880]  INFO -- : 开始管理Role和Users...
I, [2015-07-15T17:27:38.151646 #4880]  INFO -- : 点击Roles主目录...
I, [2015-07-15T17:27:39.458720 #4880]  INFO -- : 查找Roles...
I, [2015-07-15T17:27:46.843143 #4880]  INFO -- : 退出系统...
I, [2015-07-15T17:27:50.115330 #4880]  INFO -- : 输入用户名secadmin...
I, [2015-07-15T17:27:51.407404 #4880]  INFO -- : 输入密码123456...
I, [2015-07-15T17:27:52.720479 #4880]  INFO -- : 点击登录按钮...
I, [2015-07-15T17:27:53.893546 #4880]  INFO -- : ===>>开始验证登录信息：
I, [2015-07-15T17:27:54.128560 #4880]  INFO -- : <<===验证结果:true,login successful,login successful,login successful
I, [2015-07-15T17:27:54.128560 #4880]  INFO -- : 审批关联的Role和User...
I, [2015-07-15T17:28:01.649990 #4880]  INFO -- : 退出系统...
I, [2015-07-15T17:28:04.844172 #4880]  INFO -- : 输入用户名sysadmin...
I, [2015-07-15T17:28:06.109245 #4880]  INFO -- : 输入密码123456...
I, [2015-07-15T17:28:07.401319 #4880]  INFO -- : 点击登录按钮...
I, [2015-07-15T17:28:08.604388 #4880]  INFO -- : ===>>开始验证登录信息：
I, [2015-07-15T17:28:08.852402 #4880]  INFO -- : <<===验证结果:true,login successful,login successful,login successful
I, [2015-07-15T17:28:08.852402 #4880]  INFO -- : 检查关联的Role和User...
I, [2015-07-15T17:28:09.520440 #4880]  INFO -- : 点击Roles主目录...
I, [2015-07-15T17:28:10.860517 #4880]  INFO -- : 查找Roles...
I, [2015-07-15T17:28:14.688736 #4880]  INFO -- : 点击Roles主目录...
I, [2015-07-15T17:28:16.016811 #4880]  INFO -- : 查找Roles...
I, [2015-07-15T17:28:17.777912 #4880]  INFO -- : 删除Roles...
I, [2015-07-15T17:28:19.822029 #4880]  INFO -- : 退出系统...
I, [2015-07-15T17:28:23.114217 #4880]  INFO -- : 输入用户名secadmin...
I, [2015-07-15T17:28:24.391290 #4880]  INFO -- : 输入密码123456...
I, [2015-07-15T17:28:25.693365 #4880]  INFO -- : 点击登录按钮...
I, [2015-07-15T17:28:26.864432 #4880]  INFO -- : ===>>开始验证登录信息：
I, [2015-07-15T17:28:27.128447 #4880]  INFO -- : <<===验证结果:true,login successful,login successful,login successful
I, [2015-07-15T17:28:27.128447 #4880]  INFO -- : 审批删除的Roles...
I, [2015-07-15T17:28:35.085902 #4880]  INFO -- : 退出系统...
I, [2015-07-15T17:28:38.360089 #4880]  INFO -- : 输入用户名sysadmin...
I, [2015-07-15T17:28:39.655164 #4880]  INFO -- : 输入密码123456...
I, [2015-07-15T17:28:40.952238 #4880]  INFO -- : 点击登录按钮...
I, [2015-07-15T17:28:42.113304 #4880]  INFO -- : ===>>开始验证登录信息：
I, [2015-07-15T17:28:42.365319 #4880]  INFO -- : <<===验证结果:true,login successful,login successful,login successful
I, [2015-07-15T17:28:43.058358 #4880]  INFO -- : 点击User主目录...
I, [2015-07-15T17:28:44.725454 #4880]  INFO -- : 点击要添加User的Organization节点...
I, [2015-07-15T17:28:46.030528 #4880]  INFO -- : 查找User...
I, [2015-07-15T17:28:47.791629 #4880]  INFO -- : 删除User...
I, [2015-07-15T17:28:49.856747 #4880]  INFO -- : 退出系统...
I, [2015-07-15T17:28:53.132934 #4880]  INFO -- : 输入用户名secadmin...
I, [2015-07-15T17:28:54.409007 #4880]  INFO -- : 输入密码123456...
I, [2015-07-15T17:28:55.706082 #4880]  INFO -- : 点击登录按钮...
I, [2015-07-15T17:28:56.879149 #4880]  INFO -- : ===>>开始验证登录信息：
I, [2015-07-15T17:28:57.130163 #4880]  INFO -- : <<===验证结果:true,login successful,login successful,login successful
I, [2015-07-15T17:28:57.130163 #4880]  INFO -- : 审批删除的user...
I, [2015-07-15T17:29:03.343518 #4880]  INFO -- : 退出系统...
I, [2015-07-15T17:29:06.645707 #4880]  INFO -- : 输入用户名sysadmin...
I, [2015-07-15T17:29:07.931781 #4880]  INFO -- : 输入密码123456...
I, [2015-07-15T17:29:09.232855 #4880]  INFO -- : 点击登录按钮...
I, [2015-07-15T17:29:10.418923 #4880]  INFO -- : ===>>开始验证登录信息：
I, [2015-07-15T17:29:10.656937 #4880]  INFO -- : <<===验证结果:true,login successful,login successful,login successful
I, [2015-07-15T17:29:11.340976 #4880]  INFO -- : 点击Organization主目录...
I, [2015-07-15T17:29:12.845062 #4880]  INFO -- : 点击Organization根节点...
I, [2015-07-15T17:29:14.347148 #4880]  INFO -- : 查找Organization信息...
I, [2015-07-15T17:29:16.393265 #4880]  INFO -- : 删除Organization信息...
I, [2015-07-15T17:29:20.347491 #4880]  INFO -- : 退出浏览器...
I, [2015-07-15T17:29:25.523787 #4880]  INFO -- : TestModule05_roleOver<<<<<<<<<<<<<<<<<<<
